Job Title,Company Name,Country,When Posted,No. of Applicants,Hyperlink,Job Description
Strategy & Operations Manager - Singapore,Revolut,Singapore| Singapore,2 weeks ago,184 applicants,https://sg.linkedin.com/jobs/view/strategy-operations-manager-singapore-at-revolut-2174464015?refId=a1f7fbeb-7bc9-4c76-8522-3721b0bf4b4b&position=7&pageNum=19&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong>About The Team<br/><br/></strong>Revolut does Operations differently. The team sits at the core of Revolut working with departments across the business to help solve issues and create effective scalable solutions.<br/><br/>Operations has been responsible for major milestones like launching Premium and building our banking infrastructure as well as saving millions of pounds for the business.<br/><br/>Working in Operations at Revolut will give you exposure to a range of different verticals where you will deep dive into the fundamentals of each business area you work on. This gives you breadth and depth of experience unrivalled in almost any other job and offers you the chance to have a huge impact on Revolut’s success.<br/><br/><strong>About The Role<br/><br/></strong>You'll be responsible for:<br/><br/><ul><li> Building and optimising processes to prepare Revolut Singapore for hyper growth</li><li> Executing and scaling Singapore operations and work with the local Operations Team and London HQ on devising detailed playbooks product integrations and air-tight execution of Revolut products</li><li> Strategy: Exploring and defining which projects the team should prioritize and setting a timeline to reach goals quickly</li><li> Product improvement: Proactively searching for new features to providing a seamless customer experience</li><li> Managing critical vendor relationships and build performance tracking systems</li><li> Developing strategic supply chain partnerships and negotiate commercial terms<br/><br/></li></ul><strong>What Skills You'll Need<br/><br/></strong><ul><li> You have a minimum of 3 years of experience in a similar position</li><li> You have a solid track record of achievement</li><li> You have worked in a top tech company and/or startup have quickly assumed responsibilities</li><li> You can break complex problems into smaller ones and enjoy working with data to facilitate your work using such tools as SQL Python and Excel</li><li> You are curious by nature and interested in making an impact.</li><li> You can demonstrate this through various projects you have been involved in</li><li> You can make a good business case and convince people to help you execute<br/><br/></li></ul><strong>A Little About Us<br/><br/></strong>When Revolut was founded in 2015 we had a vision to build a sustainable digital alternative to traditional big banks. Our mission now is to help our customers improve their financial health empower them to have more control and promote financial cohesion across the communities in which we operate. Launching into 2020 with 12 million Personal customers and over a quarter of a million Business customers only reinforced our belief in the vast need across the world for better financial services. As our customer base has boomed in the last year we’ve expanded our team to match that growth. We started 2019 with several hundred employees; we closed it out with 2000.<br/><br/><strong>What We're Looking For<br/><br/></strong>Revolut is being scaled up by people all around the world who share our vision. We’re looking for people who align with our five core values: we build a Dream Team we Never Settle we Get It Done because we Think Deeper and we Deliver WOW. You’re the kind of person who wants to join a community of forward-thinking people all personally and professionally invested in Revolut’s mission. You thrive in a collaborative space where everyone’s learning from each other and learning fast. We believe in empowering our Revoluters in their work giving them autonomy and ownership of what they do. We want everyone at Revolut to own their story and their successes - working with us means you’re not just another cog in the machine.<br/><br/><strong>The Benefits<br/><br/></strong><ul><li> Competitive salary</li><li> Biannual equity bonuses</li><li> All the latest tech you need</li><li> Free Revolut Metal Subscription<br/><br/></li></ul><strong>Please only submit an application for one posting.</strong></div>
Operations Executive,Excellence Singapore Group of companies,Singapore| Singapore,1 week ago,27 applicants,https://sg.linkedin.com/jobs/view/operations-executive-at-excellence-singapore-group-of-companies-2206205244?refId=a1f7fbeb-7bc9-4c76-8522-3721b0bf4b4b&position=8&pageNum=19&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Roles &amp; Responsibilities<br/></u></strong><ul><li> To ensure the duties are performed according to the established guidelines and timelines </li><li> Data entry of information and ad-hoc duties </li><li> Answering to caller’s enquiries </li><li> Handling multiple projects communications and co-ordination </li><li> To ensure adequate administrative and operational support to the sales team efficiently and effectively </li><li> To provide timely and accurate tracking and/ or reports for applications </li><li> To audit check the application documents </li><li> To ensure sales meet with internal control compliance and audit standard </li><li> To compile all the data inputting guidelines / methodologies given for loan applications processing </li><li> To provide advice as to fine-tune the compliance policy and hygiene rules of front-end system to business need </li><li> To provide appropriate support for new products launches <br/><br/></li></ul><strong><u>Requirements<br/></u></strong><ul><li> GCE “N” level and above (No experience required)</li><li> Minimum 21 years of age </li><li> Meticulous with an eye for detail </li><li> Highly responsible able to multi-task and a fast worker </li><li> Simple Microsoft Office Skills (Word Excel &amp; PowerPoint)</li><li> Excellent interpersonal and communication skills </li><li> Able to work independently and under pressure <br/><br/></li></ul><strong><u>Benefits<br/></u></strong><ul><li>5 days work week </li><li> Attractive Pay Package with guaranteed AWS </li><li> Allowances provided after probation </li><li> Growing company means you do not feel stagnant</li></ul></div>
Operations Executive,AmerisourceBergen,Singapore| Singapore,nil,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/operations-executive-at-amerisourcebergen-2228580402?refId=a1f7fbeb-7bc9-4c76-8522-3721b0bf4b4b&position=9&pageNum=19&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><p>Are you looking to make a difference in a patient’s life?  At AmerisourceBergen you will find an innovative culture that is patient focused and dedicated to making a difference.  As an organization we are united in our responsibility to create healthier futures. </p> <strong><br/>What you will be doing<br/></strong> <p><strong><u><span>POSITION SUMMARY:<br/><br/></span></u></strong></p><p> <br/><br/></p><p><span>Provide the fastest on-time door-to-door service coordinating collections &amp; deliveries processing shipments for exports and imports. Pro-actively clear shipments with Customs and other government agencies where possible. Liaise with airlines international agents and other overseas offices in our network ensuring our shipments are handled appropriately. Rectify operational issues minimising delays to agreed delivery times. Handle time critical shipments dangerous goods temperature sensitive products using special packaging (including refrigerants and temperature monitors). <br/><br/></span></p><p> <br/><br/></p><p><strong><u><span>DUTIES AND RESPONSIBILITIES:<br/><br/></span></u></strong></p><p><strong><span>Imports:- <br/><br/></span></strong></p><ul><br/> <li><br/> <p><span>Monitor World Star screens applicable to inbound shipments (1 – 1 12 17 52 53 68) according to SOP 600 and operations email. <br/></span></p> <br/></li> <li><span>Respond to “ok to send” requests from origin offices.<br/></span></li> <li><span>Provide origin offices with sending instructions when necessary.<br/></span></li> <li><br/> <p><span>Verify job details against the shipping document to ensure job details are correct e.g. Drive away service code flight details etc.<br/></span></p> <br/></li> <li><br/> <p><span>Contact consignee to obtain relevant import licenses and confirm payment method for duty &amp; taxes when required.<br/></span></p> <br/></li> <li><br/> <p><span>Clear shipments with all applicable government agencies in a timely manner to ensure the fastest possible delivery time.  <br/></span></p> <br/></li> <li><br/> <p><span>Ensure shipments are stored at the correct temperature condition on arrival until delivery. <br/></span></p> <br/></li> <li><span>Follow special instructions for each shipment.<br/></span></li> <li><span>Prepare delivery manifest for the Courier’s<br/></span></li> <li><span>Send inbound advise and POD confirmation to key customers as required.<br/></span></li> <li><span>Check and replenish refrigerants for shipments when necessary.<br/></span></li> <li><br/> <p><span>Submit import permits using Tradenet for controlled articles &amp; substances and or high value items when appropriate. <br/></span></p> <br/></li> <li><span>Submit CMD within 7 days of the shipment being imported.  <br/><br/><br/></span></li></ul><p><span> <br/><br/></span></p><p><strong><span>      Exports:- <br/><br/></span></strong></p><ul><br/> <li><br/> <p><span>Monitor World Star screens applicable to outbound shipments (1 – 1 12 17 51 53 62 68) according to SOP 600 and operations email. <br/></span></p> <br/></li> <li><br/> <p><span>Arrange flight bookings<br/></span></p> <br/></li> <li><br/> <p><span>Prepare packaging and or refrigerants for each shipment when necessary<br/></span></p> <br/></li> <li><br/> <p><span>Mark and label shipments in accordance with local regulations and the IATA DGR.<br/></span></p> <br/></li> <li><br/> <p><span>Follow destination office sending instructions.<br/></span></p> <br/></li> <li><br/> <p><span>Enter all applicable extra charges for each job.<br/></span></p> <br/></li> <li><br/> <p><span>Update and manifest jobs including attaching documents to Optiview.<br/></span></p> <br/></li> <li><br/> <p><span>Submit FHL &amp; FWB data through airline interface<br/></span></p> <br/></li> <li><br/> <p><span>Obtain necessary endorsements / clearance with applicable government agencies when appropriate. <br/></span></p> <br/></li> <li><br/> <p><span>Confirm uplift (postflight) for all outbound shipments including agent locations &amp; airline transfers.<br/></span></p> <br/></li> <li><br/> <p><span>Perform station transfer for shipments transiting Singapore.<br/></span></p> <br/></li> <li><br/> <p><span>Check and replenish refrigerants when necessary for all outbound shipments including shipments transiting Singapore.<br/></span></p> <br/></li> <li><br/> <p><span>Submit export permits using Tradenet for controlled articles &amp; substances and or high value items when appropriate. <br/></span></p> <br/></li> <li><br/> <p><span>Submit CMD within 7 days of the shipment being exported.  <br/></span></p> <br/><br/><br/></li></ul><p><span> </span></p> <strong><br/>What your background should look like (minimum qualifications)<br/></strong> <p>    </p><p><u>EXPERIENCE AND EDUCATIONAL REQUIREMENTS:</u></p><p>   </p><p></p><ul><li>Driving License</li><li><p>Minimum ‘O’ level with a pass in English and or above Polytechnic Diploma or equivalent.</p><p><strong> </strong></p><p><u>REPORTS DIRECTLY TO: </u></p></li><li><p>National Manager Client Services Duty Operations Managers Lead Operations Executive</p><p><u> </u></p><p><u>MINIMUM SKILLS KNOWLEDGE AND ABILITY REQUIREMENTS:</u></p></li><li><p>Keep calm in pressure situations</p></li><li><p>Attention to detail</p></li><li><p>Solution oriented </p></li><li><p>Multi tasking</p></li><li><p>Practical thinking</p></li></ul><p> </p><p> </p><p> </p><p> </p><p> </p> <p></p><p> World CourierOur commitment to People Quality and Innovation means we deliver career opportunities that few others can match. From our beginnings 50 years ago couriering time sensitive high importance documents to today’s cutting edge logistics solutions for Cell &amp; Gene Therapies that save lives we now have over 3000 employees at 140 offices in more than 50 countries worldwide and are part of Fortune 10 corporation AmerisourceBergen. </p><p><strong>What AmerisourceBergen offers</strong></p><p> We offer competitive total rewards compensation. Our commitment to our associates includes benefit programs that are comprehensive diverse and designed to meet the various needs across our associate population.  </p><p> • Healthcare for associates and eligible dependents same-sex and domestic partners• Paid time off including vacations and holidays• Paid volunteer time off• Life insurance and disability protection• Pet insurance• Employee Stock Purchase Program• Retirement benefits and more… </p><p> Throughout our global footprint and various business units we take a balanced approach to the benefits we offer. Many benefits are company-paid while others are available through associate contributions. Specific benefit offerings may vary by location position and/or business unit. </p><p><strong>About AmerisourceBergen</strong></p><p> AmerisourceBergen is a publicly traded Fortune 10 global healthcare solutions company and is one of the world's largest pharmaceutical services companies. Powered by our associates around the world we provide pharmaceutical products and business solutions that improve access to care.  We operate the backbone of the healthcare supply chain. We drive the future of local care delivery.  We guide medical innovations to market.  We create healthier futures. </p><p><strong>Primary Location</strong></p><p>Singapore-Singapore-Singapore</p><p></p><p>Changi North - SIN</p><p><strong>Organization</strong></p><p>Global Specialty Logistics</p><p><strong>Job</strong></p><p>Operations Jobs</p><p><strong>Schedule</strong></p><p>Full-time</p></div>
Operations Manager,IGG,Singapore| Singapore,1 month ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/operations-manager-at-igg-2202474217?refId=a1f7fbeb-7bc9-4c76-8522-3721b0bf4b4b&position=10&pageNum=19&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Responsibilities<br/></u></strong><ul><li> Set up an operation team in SG and manage the distribution operations and maintenance of mobile games.</li><li> Tailor-make and follow up in-game events based on the country where the product is launched.</li><li> Continually analyze strategies to propose new ways to optimize customer stickiness user experience and game revenue.</li><li> Assist in product image and formulate effective marketing and promotion for different countries and regions.</li><li> Regularly collect information to conduct data analysis and researching on rival products in the markets of various countries.</li><li> Regularly provide the Development teams with updated feedback on the follow-up content of the product according to the characteristics of different countries.</li><li> Team management - Able to manage the company’s Operations teams across different regions/countries and to assist in managing the daily operations in various countries.<br/></li></ul><strong><u>Requirements<br/></u></strong><ul><li> Fluent in English and Chinese (oral and written) in the related field.</li><li> 5 years and above experience in the gaming industry or related fields. Those with game marketing experience will be considered favorably.</li><li> Deep understanding of the local market; familiar with various game genres and gaming platforms.</li><li> Good acumen in market trends highly creative and able to make use of various marketing resources.</li><li> Keen on learning able to analyze the market and the ability to solve problems independently.</li><li> Responsible honest and possess outstanding communicative skills. Must be able to work well in a team.<br/></li></ul></div>
Purchasing Trainee (Fresh Graduates),Schaeffler,Singapore| Singapore,3 weeks ago,136 applicants,https://sg.linkedin.com/jobs/view/purchasing-trainee-fresh-graduates-at-schaeffler-2183560796?refId=a1f7fbeb-7bc9-4c76-8522-3721b0bf4b4b&position=11&pageNum=19&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><p><strong>Traineeship Description:</strong></p><p><br/></p><p>Schaeffler is a leading global technology company with approximately 170 locations in over 50 countries. This position is based in Singapore the regional HQ for Asia Pacific and reports to Head of Industrial Operations Projects Asia Pacific.</p><p><br/></p><p><strong>Specific Responsibilities:</strong></p><p><br/></p><ol><li>Strategic Roadmap Purchasing &amp; Supplier Management AP – Project Management</li><li>Creating a “Purchasing Healthcheck”- identifying qualification needs within Purchasing and deriving proposals for implementation</li><li>Developing and implementing a standardized category strategy format for usage throughout Production Material Purchasing Asia-Pacific</li><li>Support Asia-Pacific Supplier Management team on establishing a “Zero Defect Strategy” for selective categories</li></ol><p><br/></p><p><strong>Technical Skills and Competencies Trainee will learn during SGUnited Traineeship Programme:</strong></p><p><br/></p><ol><li>Project Management and Planning</li><li>Benchmarking and portfolio analysis</li><li>Problem-solving structured analytical skills</li><li>Strategy development and implementation</li><li>Purchasing and Supplier Management basics</li></ol><p><br/></p><p><strong>Highest Qualification:</strong> Degree</p><p><br/></p><p><strong>Duration of Traineeship: </strong>6 months</p></div>
LNG Operations Trainee #SGUnitedTraineeships,Pavilion Energy,Singapore| Singapore,2 weeks ago,63 applicants,https://sg.linkedin.com/jobs/view/lng-operations-trainee-%23sgunitedtraineeships-at-pavilion-energy-2170944643?refId=a1f7fbeb-7bc9-4c76-8522-3721b0bf4b4b&position=12&pageNum=19&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><p><strong>(1) Traineeship Description :</strong></p><p>This position reports to the Senior Cargo Operator and provide support to the LNG cargo and shipping operations.</p><p><br/></p><p><strong>(2) Specific Responsibilities :</strong></p><ul><li>Support ship-shore compatibility study</li><li>Support cargo documentation exchange via Documentary Instructions and liaise with counterparts and terminals in completing all the cargo documents required.</li><li>Support import / export permits declaration for regulatory compliance.</li><li>Support appointment of independent surveyors and review surveyor reports; verify cargo quantity in accordance to agreed measurement &amp; testing protocols.</li><li>Support invoicing and payment process.</li></ul><p><br/></p><p><strong>(3) Technical Skills and Competencies that Trainees will learn :</strong></p><p>1. Gain working knowledge of the LNG industry and Singapore's Natural Gas Industry.</p><p>2. Gain working knowledge of LNG cargo operations</p><p>3. Gain basic understanding of LNG shipping operations</p><p><br/></p><p><strong>(4) Requirements :</strong></p><ul><li>Knowledge and understanding of gas/ LNG supply chain and operations will be advantageous</li><li>Good analytical negotiation and presentation skills</li><li>Ability to multi-task; good planning and organizing skills</li><li>Meticulous and detailed oriented</li></ul><p><br/></p><p><strong>(5) Education Qualifications Required for the Traineeship Role :</strong></p><p>Degree in Engineering or Science</p><p><strong>(6) Duration of Traineeship Offered : 9 months</strong></p><p><br/></p><p><strong>(7) Eligibility Criteria for SGUnitedTraineeships :</strong></p><ol><li>Singapore Citizen or Permanent Resident and</li><li>Graduated or graduating in calendar year 2019 or 2020 from polytechnics universities or other educational institutions (e.g. private universities and overseas institutions)</li></ol><p><br/></p><p>We will consider hiring well-performing trainees as permanent employees after the traineeship period.</p><p><br/></p><p>Please refer below link to apply and for more information:</p><p>https://www.mycareersfuture.gov.sg/job/others/lng-operations-trainee-sgunitedtraineeships-pavilion-energy-trading-supply-5b7f7248a728ad9c13282e9cbe674ee5</p><p><br/></p><p><strong><em>We regret that only shortlisted candidates will be notified.</em></strong></p></div>
IKEA Jurong - Business Analyst,IKEA,Singapore| Singapore,4 days ago,Over 200 applicants,https://sg.linkedin.com/jobs/view/ikea-jurong-business-analyst-at-ikea-2193870245?refId=a1f7fbeb-7bc9-4c76-8522-3721b0bf4b4b&position=13&pageNum=19&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5"><strong><u>Company Description<br/><br/></u></strong>The IKEA vision is to create a better everyday life for the many people. We do this by offering a wide range of well-designed functional home furnishing products at prices so low that as many people as possible can afford them. We operate in Singapore Malaysia and Thailand – and have an ambitious expansion plan to bring a little bit of Sweden to new markets in the region. We are part of the Ikano Group of companies and the only IKEA franchisee owned by the Kamprad family that founded IKEA.<br/><br/>We also develop own and operate Shopping Centres that are anchored by IKEA and create walkable communities by including residential office and other types of real estate in our development plans.<br/><br/>We work towards making sustainability a natural part of our everyday work. We are active in our communities driving and supporting social initiatives that benefit children women and the environment.<br/><br/><strong><u>Job Description<br/><br/></u></strong><strong>About the job<br/><br/></strong>IKEA Jurong is a unique city centre store in a popular shopping mall. It is a smaller store with a big turnover and with 3 million visitors. It will be led by an ambitious team consisting of the Store Commercial Operations IKEA Food and a Retail Foundation Manager.<br/><ul><li> Support Operations Manager in Business plan budget and forecast process by translating the store’s strategy and goals in Profit &amp; Loss (P&amp;L) scenarios using financial analysis and benchmarking;</li><li> Lead the store’s monthly financial reporting together with the regional and store’s accounting team by timely efficient accurate and compliant invoice management;</li><li> Monitor the store’s budget through close follow up of the P&amp;L and provide regular updates to the store management on the store’s financial position and recommend improvement measures in case of deviation and potentials;</li><li> Provide relevant and user-friendly business information on the store’s performance KPIs;</li><li> Support the sales team in converting performance insights into actions towards maximising business opportunities in the most efficient and effective way;</li><li> Supporting correct procurement of indirect material by requesting and comparing supplier quotations by periodic reviews on contracts management administering purchase tool user management.<br/></li></ul><strong><u>Qualifications<br/><br/></u></strong><strong>Your profile<br/></strong><ul><li> Highly developed analytical and numerical skills; Result oriented;</li><li> Strong management and leadership experience;</li><li> Self-reliant and motivated with proven ability to work as part of a team as well as independently;</li><li> Ability to influence;</li><li> Flexible approach to work and open to change;</li><li> Being able to communicate clearly and succinctly both verbally and in writing;</li><li> Good working knowledge of all areas of IKEA business;</li><li> Experience in setting and implementing long-term strategic plans setting budgets and following up on goals.<br/></li></ul>Additional Information<br/><br/>Please apply by 15 November 2020</div>
Regional Associate| Operations,Ninja Van,Singapore| Singapore,3 months ago,46 applicants,https://sg.linkedin.com/jobs/view/regional-associate-operations-at-ninja-van-2008307160?refId=a1f7fbeb-7bc9-4c76-8522-3721b0bf4b4b&position=14&pageNum=19&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">Ninja Van is a tech-enabled logistics company on a mission to provide hassle-free delivery services for businesses of all sizes across Southeast Asia. Launched in 2014 we started operations in Singapore and have become the region's largest and fastest growing last-mile logistics company partnering with over 35000 merchants and delivering more than 1000 parcels every minute across six countries.<br/><br/>At our core we are a technology company that is disrupting a massive industry with cutting-edge software and operational concepts. Powered by algorithm-based optimisation dynamic routing end-to-end tracking and a data-driven approach we provide best-of-class delivery services that delight both the shippers and end customers. But we are just getting started! We have much room for improvement and many ideas that will further shape the industry.<br/><br/>The Regional Operations team is looking for a results-driven individual with a bias for action to handle operations within Singapore and the region. You will support the Department’s objectives to help develop organisation structure for scale and execute on providing operational excellence. The ideal candidate for this role should have exceptional analytical skills a marked taste for operational challenges and the ability to present information clearly.<br/><br/><strong><u>Responsibilities<br/></u></strong><ul><ul><li>Put together dashboards to monitor performance across the region and to flag potential issues before they become problems</li><li>Develop and execute analytical tools to measure operational excellence and be expected to concisely explain both what the numbers are saying and what we should be doing to senior leadership</li><li>Develop and share best practices to scale operations of cities</li><li>Execute on plans for major strategic initiatives and new project launches</li><li>Document finalised initiatives into standardised operating procedures expeditiously<br/><br/></li></ul></ul><strong><u>Requirements<br/></u></strong><ul><ul><li>Bachelor's Degree in any field from a recognised university</li><li>Up to 2 years of relevant working experience</li><li>Applicants with minimal work experience but possess strong extra-curricular and internship records are welcomed to apply </li><li>Willingness to travel for up to 3 days per week </li><li>Absolute team player with strong communication and organisational skills - you are able to interact with people at all levels of the organisation</li><li>Balance attention to detail with swift execution - we need to do things quickly and we need to do them well. Balancing those can be challenging and this should be a strength</li><li>Can-do attitude - we are a lean team and many times responsibilities may fall out of one’s exact job description; we are looking for folks that are willing to roll up their sleeves to get the job done</li><li>Explorer - the ability to self-serve investigate and get the date we require will make you much more effective in this role. Self-starter attitude is a must! <br/><br/></li></ul></ul><strong><u>Preferred<br/></u></strong><ul><ul><li>Demonstrated work exposure in process improvement work preferably in a supply chain capacity</li><li>Experience using SQL for reporting</li><li>Hands-on experience using Excel or data-management skills - many say they are great in Excel fewer truly are. The ideal candidates brings some impressive know-how (and the understanding that there's always more to learn) <br/><br/></li></ul></ul><strong>Submit a job application<br/><br/></strong>By applying to the job you acknowledge that you have read understood and agreed to our Privacy Policy Notice (the “Notice”) and consent to the collection use and/or disclosure of your personal data by Ninja Logistics Pte Ltd (the “Company”) for the purposes set out in the Notice. In the event that your job application or personal data was received from any third party pursuant to the purposes set out in the Notice you warrant that such third party has been duly authorised by you to disclose your personal data to us for the purposes set out in the the Notice.</div>
Trainee| Program Management,Yara International,Singapore| Singapore,2 weeks ago,26 applicants,https://sg.linkedin.com/jobs/view/trainee-program-management-at-yara-international-2202499479?refId=a1f7fbeb-7bc9-4c76-8522-3721b0bf4b4b&position=15&pageNum=19&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">We at Yara are part of a global network collaborating to profitably and responsibly solve some of the world's key challenges - resource scarcity food insecurity and environmental change.<br/><br/><strong><u>About The Unit<br/><br/></u></strong>There are more than 500 million smallholder farms globally. 2.5 billion people depend on Smallholder Communities for their food and livelihoods. Smallholder regions are characterized by low living standards high rates of illiteracy and low agricultural productivity. Yara's mission is "Responsibly Feed the World and Protect the Planet". Key to achieving this is enabling thriving Smallholder Communities. At Yara the Smallholders Digital Team is part of the Crop and Digital Solutions Unit.<br/><br/><strong><u>About Crop And Digital Solutions<br/><br/></u></strong>Yara aims to be the crop nutrition company for the future and is leading the development of sustainable agriculture and digital tools to contribute to solving global agricultural challenges. We have a worldwide presence with sales teams in ~150 countries and around 17000 employees. Yara Farming Solutions will lead the transformation towards more sustainable and efficient food production by innovating our offerings and the way we work. <strong>Crop and Digital Solutions</strong> is responsible developing and scaling new “on-farm” digital and integrated tools and solutions for an efficient and transparent food system.<br/><br/><strong><u>Responsibilities<br/><br/></u></strong>The team works as a business facilitator looking across all of the digital product lines of the organisation and proactively looking for ways to help people move faster. This involves handling various projects across functions.<br/><br/><strong><u>Main Tasks Include<br/></u></strong><ul><li>Support the Program Manager in improving workflows and streamlining processes for Smallholders business line.</li><li>Assist with day-to-day decisions of process documentation business automation and internal systems. Align decisions with key stakeholders globally.</li><li>Assist with project progress facilitation knowledge building and documentation.</li><li>Work with the team to manage schedules and resources.<br/><br/></li></ul><strong>Profile<br/></strong><ul><li>Strong personal/professional interest in the LSM segments (developing countries low-income markets etc) and agriculture in general.</li><li>Personal interest in making things work better finding holes in processes streamlining and optimizing for excellent user/personal experiences.</li><li>Background/Education related to program/project management compliance or operations related functions.<br/><br/></li></ul><strong><u>Additional Information<br/><br/></u></strong>We strive to reflect the diversity in society and encourage all qualified applicants from all background to apply. We are committed to creating a work environment that fits gender equality and allows combining career progress with the needs of a family or other personal circumstances<br/><br/><strong>Why us?<br/></strong><ul><li>Evolving tech development division of an established agricultural products and services company.</li><li>Explore and develop digital software hardware products which provide value to farmers smallholder communities and the value chain.</li><li>Be part of our mission to build sustainable solutions that benefit humanity and the environment.</li><li>Full-time permanent and freelance contract options available with competitive remuneration + benefits.</li><li>Support for personal development training and continuous learning.</li><li>Commitment to using new technologies and frameworks meetups and knowledge sharing.<br/><br/></li></ul><strong>Apply no later than</strong></div>
Strategy Operations Lead| Payments and Next Billion Users,Google,Singapore| Singapore,nil,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/strategy-operations-lead-payments-and-next-billion-users-at-google-2205277152?refId=a1f7fbeb-7bc9-4c76-8522-3721b0bf4b4b&position=16&pageNum=19&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">Due to the current health crisis related to COVID-19 and the escalating visa/travel restrictions in place we're currently unable to extend offers to anyone who cannot work from Singapore due to lockdown visa/travel restrictions or other restrictive measures until further notice. Consequently we will be prioritizing candidates who can start in this location by set date as expected. We're keeping the situation under review and would adjust our position should the restrictive measures be removed later on.<br/><br/><strong><u>Minimum Qualifications<br/></u></strong><ul> <li>MBA degree or equivalent practical experience.</li> <li>5 years of relevant work experience.</li> <br/><br/></ul><strong><u>Preferred Qualifications<br/></u></strong><ul> <li>Ability to deal with ambiguity and work independently across multiple functions and product areas to drive alignment and deliverables. </li> <li>Demonstrated business acumen combined with problem solving project management and analytical skills. </li> <li>Excellent executive-level written and verbal communication skills with ability to influence and collaborate with leaders across the organization.</li> <br/><br/></ul><strong><u>About The Job<br/><br/></u></strong>As a Strategy and Operations Lead you will demonstrate project management skills executive communications and business judgment to support strategic decisions and drive growth initiatives across the full suite of Next Billion Users (NBU) and Payments products. Your focus will be to enable an externally facing Business Development team and effectively program manage and align internal teams and functions. You will work in a rapidly changing industry tolerate ambiguity pick up tasks even when they are beyond your scope and demonstrate problem-solving leadership with limited oversight.<br/><br/>Google’s Global Partnerships team powers extraordinary user experiences through partnerships that solve users’ needs advance our partners’ goals and further Google’s mission. Our team provides meaningful solutions — from helping publishers and developers grow their businesses through monetization solutions to helping our long-term partners anticipate and navigate change in a way that delivers economic and reputational value. We build and distribute products through partnerships across a multitude of product areas including Ads Search &amp; Assistant Geo Platforms &amp; Ecosystems Devices &amp; Services Health Retail Payments Next Billion Users and more. We collaborate across Google ensuring a coordinated approach when engaging with our most complex and strategic partners.<br/><br/><strong><u>Responsibilities<br/></u></strong><ul> <li>Leverage strategic insights and operational rigor to enable externally facing Business Development team to achieve exponential growth goals.</li> <li>Program manage multiple global initiatives concurrently interfacing with multiple internal stakeholders.</li> <li>Direct and conduct complex analyses solve strategic and operational problems and identify key insights.</li> <li>Communicate results and insights with cross-functional leaders through presentations and ongoing analysis/reports.</li> <br/></ul>Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation please let us know by completing this form .</div>
Management Trainee - Operations #SGUnitedJobs #SGUnitedTraineeships,FRAGRANCE FOODSTUFF PTE LTD,Singapore| Singapore,4 weeks ago,Be among the first 25 applicants,https://sg.linkedin.com/jobs/view/management-trainee-operations-%23sgunitedjobs-%23sgunitedtraineeships-at-fragrance-foodstuff-pte-ltd-2202448600?refId=a1f7fbeb-7bc9-4c76-8522-3721b0bf4b4b&position=17&pageNum=19&trk=public_jobs_job-result-card_result-card_full-click,<div class="show-more-less-html__markup show-more-less-html__markup--clamp-after-5">We are looking for a management trainee to help us develop and implement our growth strategies. During your traineeship you’ll learn how to identify and apply important strategies and business processes.<br/><br/><strong><u>Job Description<br/></u></strong><ul> <li>To understand each department’s daily processes e.g. marketing sales human resource operations and etc</li> <li>Learn various staff functions including management viewpoints company policies and practices affecting each phase of business</li> <br/><br/></ul><strong><u>Job Requirements<br/></u></strong><ul> <li>Energetic with strong learning attitude</li> <li>No work experience required.(Training will be provided)</li> <li>Preferably graduates from Local Uni/ Polytechnic Diploma</li> <li>Team Player and good interpersonal skill</li> <li>Can communicate in English &amp; Chinese</li></ul></div>
